method,seeds,cross_locale_stability_mean,cross_locale_stability_std,intent_balanced_accuracy_mean,intent_balanced_accuracy_std,intent_concept_auc_mean,intent_concept_auc_std,intent_feature_fraction_mean,intent_feature_fraction_std,intent_relation_margin_mean,intent_relation_margin_std,intent_retrieval_r1_mean,intent_retrieval_r1_std,locale_feature_fraction_mean,locale_feature_fraction_std,locale_probe_mean,locale_probe_std,primary_l0_mean,primary_l0_std,reconstruction_fve_mean,reconstruction_fve_std,total_l0_mean,total_l0_std,zS_intent_balanced_accuracy_mean,zS_intent_balanced_accuracy_std,zS_locale_probe_mean,zS_locale_probe_std
Raw H,1,0.07368319227340785,0.0,0.08858298796178088,0.0,0.5823842916410102,0.0,0.052083333333333336,0.0,-0.44865648718040624,0.0,0.04919137466307277,0.0,0.91796875,0.0,1.0,0.0,768.0,0.0,1.0,0.0,768.0,0.0,,0.0,,0.0
BatchTopK SAE,3,0.006512369422600479,0.00021808436077497262,0.0855652988148483,0.007557125319876167,0.5348795063488778,0.0016035051300916632,0.14930614665508637,0.005178424632916947,-0.5613903991368718,0.01769866984049459,0.03459119496855346,0.00650132778005674,0.7940787673230293,0.006238179115126253,0.9913522012578616,0.0007781000932474555,64.0,0.0,0.7592666682792023,0.0007192142324522025,64.0,0.0,,0.0,,0.0
Blockwise SAE control,3,0.007484890220541023,0.001896443277519338,0.056031091435450285,0.003537562004520028,0.51788792604449,0.0038755253382823196,0.14973722923159022,0.008999379698905186,-0.5676511680900939,0.03538682005746519,0.04716981132075471,0.010797453072076864,0.8015681092773795,0.008461455317989633,0.9882075471698113,0.004457128219448465,13.0,0.0,0.7581805292587408,0.000717369759059019,64.0,0.0,0.08225430242813359,0.005561853545335625,0.9906783468104224,0.0030572007162659822
Reciprocal factor SAE,3,0.021073368193533892,0.0015638378267032321,0.046928939687428284,0.0063106535825705025,0.5226579839618181,0.005526668606746416,0.17918462869681476,0.008335724978577666,-0.0879270701445598,0.01627690935531442,0.051100628930817606,0.0030572007162659935,0.7604418243776193,0.0048441326033404584,0.9792228212039533,0.0005146648354622764,13.0,0.0,0.7059593319677603,0.0037123799817910187,64.0,0.0,0.05805079816164227,0.010193781245745845,0.9937106918238993,0.0015192890002772338
