method,seed,mean_top20_intent_purity,reliable_intent_coverage,mean_locale_entropy,mean_selected_feature_stability,unique_selected_feature_fraction,mean_top_id_overlap,eligible_intents
BatchTopK SAE,20260827,0.6290760869565216,0.3695652173913043,0.6058441987205744,0.4529143135285595,1.0,0.0020270194443149517,46
BatchTopK SAE,20260828,0.6619565217391304,0.34782608695652173,0.6669000840615869,0.45647300348576547,1.0,0.003068084879560343,46
BatchTopK SAE,20260829,0.6666666666666667,0.391304347826087,0.634605726414212,0.46168617586013955,1.0,0.002329365198559573,46
Blockwise SAE control,20260827,0.6294163317500913,0.41304347826086957,0.6075987638339113,0.41414959354228503,1.0,0.0023601553998486868,46
Blockwise SAE control,20260828,0.5028052261747914,0.2391304347826087,0.6345015308880702,0.334823157721913,0.9827586206896551,0.003139979540182202,46
Blockwise SAE control,20260829,0.6102484472049688,0.3695652173913043,0.5423281266501134,0.3751497383331268,0.9482758620689655,0.004672727497821965,46
Reciprocal factor SAE,20260827,0.8293478260869567,0.7391304347826086,0.659063405682275,0.5638322913926984,1.0,0.0020736771575134215,46
Reciprocal factor SAE,20260828,0.8054347826086959,0.6739130434782609,0.587461608942591,0.5648632805869498,1.0,0.0023295390209051503,46
Reciprocal factor SAE,20260829,0.8164322250639389,0.7608695652173914,0.6539350006186619,0.559235695536069,1.0,0.002206400085730459,46
