method,seed,intent_balanced_accuracy,intent_accuracy,intent_concept_auc,cross_locale_stability,locale_probe,intent_feature_fraction,locale_feature_fraction,fraction_alive,primary_l0,zS_locale_probe,zS_intent_balanced_accuracy,reconstruction_mse,reconstruction_fve,reconstruction_cosine,total_l0,total_fraction_alive,layer,initialization,initialization_fingerprint
Blockwise control,20260827,0.2331448507578476,0.20148247978436656,0.622475443312089,0.02769351639033086,0.9720350404312669,0.22928075940124132,0.6867469879518072,0.9905967450271248,22.961758760107816,0.9905660377358491,0.30326144410521666,0.5561623479229237,0.4878967336889034,0.7436660267917866,109.13308625336927,0.9587673611111112,4,fresh paired,cd5b7dbb15cb50a2ae6f5386337bbba364337d9b3012032fcee76aaa3690797d
Ours,20260827,0.34788713869921384,0.30121293800539084,0.8988887885126498,0.0594191289831396,0.9053234501347709,0.5740103270223752,0.3304647160068847,0.8405063291139241,16.610343665768195,0.9909029649595688,0.2641961621281475,0.6117155858262731,0.43674441334447545,0.714286871891847,105.02998652291105,0.8657769097222222,4,fresh paired,cd5b7dbb15cb50a2ae6f5386337bbba364337d9b3012032fcee76aaa3690797d
Blockwise control,20260827,0.3824130581670251,0.3438342318059299,0.7132376413100324,0.15094836867403372,0.9639487870619946,0.48911070780399274,0.4514519056261343,0.7971066907775769,22.119440700808624,0.9878706199460916,0.4632586631401114,0.3628307199659162,0.6631314283472913,0.8382264284078645,107.57496630727763,0.8611111111111112,8,fresh paired,cd5b7dbb15cb50a2ae6f5386337bbba364337d9b3012032fcee76aaa3690797d
Ours,20260827,0.45779600936237236,0.42857142857142855,0.9097063348772132,0.2184472492537835,0.8908355795148248,0.7815771109560363,0.16678297278436846,0.5182640144665461,16.94592318059299,0.9912398921832885,0.39245050387858993,0.42027757694057977,0.6097951489473269,0.8106129286750288,105.45114555256065,0.765625,8,fresh paired,cd5b7dbb15cb50a2ae6f5386337bbba364337d9b3012032fcee76aaa3690797d
Blockwise control,20260827,0.29890594273281534,0.2626347708894879,0.6846602312040241,0.16133569788045427,0.9878706199460916,0.5498768472906403,0.40332512315270935,0.5873417721518988,25.0813679245283,0.987533692722372,0.39055253565625003,0.3019722211689932,0.7222184385105477,0.8772639538848206,117.39622641509433,0.7333984375,16,fresh paired,cd5b7dbb15cb50a2ae6f5386337bbba364337d9b3012032fcee76aaa3690797d
Ours,20260827,0.359926585607351,0.30037061994609165,0.8956169472659952,0.22234340947025213,0.9464285714285714,0.7457044673539519,0.2036082474226804,0.4209764918625678,18.76095013477089,0.9966307277628033,0.39481854438814545,0.36092696794681217,0.6679864911024018,0.8535116335849479,118.6036051212938,0.6759982638888888,16,fresh paired,cd5b7dbb15cb50a2ae6f5386337bbba364337d9b3012032fcee76aaa3690797d
Blockwise control,20260827,0.2131991073085574,0.18851078167115903,0.67706090773536,0.08568017256066772,0.9807951482479784,0.3213264722698685,0.624928530588908,0.6325497287522603,30.074797843665767,0.9925876010781671,0.2769613770037041,0.2837321711343259,0.6392061551513639,0.849530384679427,139.17553908355796,0.7180989583333334,24,fresh paired,cd5b7dbb15cb50a2ae6f5386337bbba364337d9b3012032fcee76aaa3690797d
Ours,20260827,0.22963444528443658,0.18059299191374664,0.91733057950056,0.1462990851008374,0.9609164420485176,0.618380062305296,0.3278816199376947,0.464376130198915,20.591475741239893,0.9919137466307277,0.2813281920450774,0.31223038854608454,0.6029678202800848,0.8347976800678995,132.7218665768194,0.6866319444444444,24,fresh paired,cd5b7dbb15cb50a2ae6f5386337bbba364337d9b3012032fcee76aaa3690797d
