intent,feature_id,seen_selection_margin,heldout_auc,heldout_balanced_accuracy,heldout_false_positive_rate,heldout_language_auc,heldout_language_leakage,arabic_chinese_stability_correlation
0,327,1.2286614913240235,0.7618933475378789,0.7005445075757575,0.34322916666666664,0.5196078475890178,0.03921569517803558,0.7024994130972714
1,1,3.518224212974079,0.982373616795513,0.9403800970137941,0.049795361527967257,0.47239960976380585,0.0552007804723883,0.7145693911754396
2,489,2.670305527071374,0.9449551897131168,0.8511933174224344,0.0690419365837027,0.41208765011878723,0.17582469976242554,0.5999927365365286
3,203,2.2676641429180426,0.8858129170522625,0.8596488237299693,0.10927378111148994,0.4854053638632384,0.029189272273523192,0.8024781779802391
4,33,3.8370312248172036,0.9786333864979344,0.9499097944883125,0.0424881033310673,0.5837822101517717,0.16756442030354335,0.596691965204337
5,344,2.597627670824129,0.9646949780923492,0.9146444219750589,0.17071115604988205,0.5843813117094471,0.16876262341889414,0.6030301132455335
6,225,1.8479611985222562,0.870091433114689,0.7985191810773207,0.24017094017094018,0.589521949310162,0.179043898620324,0.5745686131720651
7,103,4.05809862366329,0.7819669365721997,0.7776653171390013,0.0696693657219973,0.45706300720715487,0.08587398558569026,0.7259772061209341
8,459,3.2587860920365603,0.9188088512241054,0.8280508474576271,0.09389830508474577,0.5604677657819982,0.12093553156399639,0.5900705416144337
9,203,4.258400804088541,0.987567861801719,0.9537196899938613,0.05783839779005525,0.4854053638632384,0.029189272273523192,0.8024781779802391
10,479,3.662365216530015,0.9976801393667218,0.9753241239243288,0.036531239330829635,0.4738340479036044,0.05233190419279121,0.6797967317737607
11,221,1.8832523131032974,0.7889829551868157,0.7486849531549836,0.13596342702336606,0.5355528035796021,0.07110560715920422,0.5610592801004375
12,453,0.5437445510193015,0.5735469768366133,0.5442645408017657,0.22508038585209003,0.4625470426689722,0.07490591466205565,0.6739941596488713
13,293,2.59393754124787,0.8523569432286537,0.8126344968450232,0.06383357041251778,0.5206858330729943,0.04137166614598864,0.8214512878044141
14,79,3.053351171752156,0.8589483274762463,0.8006117402056488,0.052622673434856174,0.48321902630756836,0.03356194738486329,0.6062308583845951
15,328,3.2498480865848065,0.9374224740640504,0.8581134415877312,0.07543978349120432,0.4796445099933886,0.04071098001322282,0.6471297458631055
16,203,3.2663874185502766,0.9250736746281552,0.9004968215762513,0.08536999321113374,0.4854053638632384,0.029189272273523192,0.8024781779802391
17,82,1.5312182931111535,0.8962522224546359,0.8128627830361346,0.22042828008157717,0.5346387409093221,0.06927748181864413,0.5111185080252653
18,1,3.180210331975691,0.973790094072311,0.9202179908572292,0.048452907174430467,0.47239960976380585,0.0552007804723883,0.7145693911754396
19,225,1.853391262755153,0.9577223851417401,0.8564230562237086,0.2710248552945182,0.589521949310162,0.179043898620324,0.5745686131720651
20,89,1.5546310457887111,0.8334451323672785,0.7626013482546852,0.30406559617355655,0.48094720822647313,0.038105583547053734,0.624554740747825
21,187,4.431665163579263,0.9561086745279302,0.923291400758113,0.06367360874018436,0.4938402370115009,0.012319525976998147,0.7791524805117905
22,466,3.2149849113392728,0.933384799918334,0.8630506782813847,0.14486638537271448,0.5979185662338984,0.19583713246779677,0.6776315223555621
23,352,2.6029233838576515,0.8727532679738563,0.7970347648261759,0.15593047034764826,0.5189146947493842,0.03782938949876846,0.5863449732916093
24,459,2.305477187368926,0.9052315753887763,0.8071162947937796,0.18576741041244083,0.5604677657819982,0.12093553156399639,0.5900705416144337
25,166,2.5203380115777976,0.9505318484410417,0.8665604754510896,0.1353001017293998,0.46924432264005644,0.06151135471988711,0.5731409116196055
26,327,2.6392602565711436,0.8539131666335195,0.7872136541973278,0.21504637581587083,0.5196078475890178,0.03921569517803558,0.7024994130972714
27,445,2.8185579563949545,0.935881753312946,0.8861909616038056,0.06761807679238872,0.5290842663159959,0.05816853263199184,0.6005937679634721
28,417,1.5659829273199617,0.913065496286293,0.8598356966013954,0.19699527346387577,0.46842601405104567,0.06314797189790866,0.6896822939199204
30,377,1.6420457012236445,0.8993064666327103,0.8199282800063796,0.1213374698379869,0.48356117544917576,0.032877649101648476,0.5519742694064874
31,1,3.005863405847613,0.9772771341315624,0.9339158466236851,0.060739735324058367,0.47239960976380585,0.0552007804723883,0.7145693911754396
32,319,1.1536410736617229,0.7340515845090088,0.6819239189928845,0.2512315270935961,0.49735464450999345,0.0052907109800131025,0.6457400080135041
33,462,2.9404310928369375,0.9807633791907941,0.9254247654876504,0.10529081990189208,0.4457351915490297,0.10852961690194063,0.7438427843140164
34,474,3.5018591548423603,0.9464094284369609,0.9043364011922815,0.09517335146159075,0.5465460759330432,0.09309215186608633,0.625332844813575
35,79,3.1793882012384262,0.9714006825099148,0.9311264487963845,0.04683801149814001,0.48321902630756836,0.03356194738486329,0.6062308583845951
36,28,2.548095878664605,0.9172793412369553,0.8539556476365868,0.11153314917127072,0.49881632743877186,0.002367345122456288,0.6733525688285681
38,442,1.9582370004862166,0.8559374647251382,0.8171068969409641,0.19911953945140534,0.393721143227672,0.21255771354465602,0.6616928822013775
39,307,2.883004635735028,0.9327115188583077,0.8965681277607883,0.10686374447842338,0.48818302685972936,0.023633946280541274,0.720071575682618
40,342,2.38006933582528,0.9592317630689724,0.9016080302126813,0.10376068376068376,0.5757236556512957,0.15144731130259137,0.618272930440632
41,1,2.3398544187839314,0.9218100056211355,0.7808038223721192,0.10505902192242833,0.47239960976380585,0.0552007804723883,0.7145693911754396
42,221,1.7326345705281283,0.8677806570005445,0.8077211343913637,0.15906753513884128,0.5355528035796021,0.07110560715920422,0.5610592801004375
43,234,2.0840006523902073,0.8960891314233743,0.8279520994391389,0.16354024556616645,0.5129620489171105,0.025924097834221005,0.606982085532188
44,9,3.7659189965874322,0.9649172936988062,0.9455639749757396,0.06265356265356266,0.4135892353114261,0.1728215293771478,0.8165944510645344
45,77,2.539174423254737,0.909017139066163,0.8370343839541547,0.20093123209169053,0.5914424798933458,0.1828849597866915,0.6447638164404745
46,344,1.8735040101522613,0.8546598262942778,0.7670725476839237,0.2471049046321526,0.5843813117094471,0.16876262341889414,0.6030301132455335
47,121,2.4853584499560615,0.8484799890526712,0.8233492411705089,0.0940422583997229,0.41482768125049946,0.17034463749900108,0.6872485174654306
48,472,4.150956762178501,0.9581732732257283,0.9260709791928804,0.09907755380936112,0.4969526703525838,0.0060946592948324385,0.7744283493359798
49,231,1.7290729572787682,0.8246926170388378,0.7390318032548349,0.3056243367527414,0.7005066054990883,0.40101321099817655,0.6545090640801696
50,472,1.6533131898890994,0.7789795380407921,0.7300357594371444,0.22653135193910837,0.4969526703525838,0.0060946592948324385,0.7744283493359798
51,43,2.460780597973153,0.9176440504602796,0.8657688373678827,0.11131946812137743,0.5928201580561024,0.18564031611220488,0.5200210571760665
52,472,1.880187983222597,0.8190815518606493,0.7667967424499491,0.25212080081438754,0.4969526703525838,0.0060946592948324385,0.7744283493359798
53,187,4.3232088851776105,0.9238394600084416,0.8876622348844572,0.061213991769547324,0.4938402370115009,0.012319525976998147,0.7791524805117905
54,136,2.6161436456782203,0.9566730641470437,0.918491178858788,0.07606112054329371,0.4706827339782477,0.05863453204350455,0.515721938822792
55,225,3.124922126250887,0.9204587856173676,0.8556309362279512,0.1387381275440977,0.589521949310162,0.179043898620324,0.5745686131720651
56,334,2.881038673909421,0.9883446073973017,0.9759644535394876,0.02029331514324693,0.4999980701607806,3.859678438744574e-06,0.6723704605162938
57,298,2.4422659670728555,0.9181092007208611,0.8331230821684282,0.1766109785202864,0.47074795119186874,0.05850409761626252,0.6978204579536069
58,28,2.813013811618487,0.9412411550965769,0.8614075349015108,0.10258175559380378,0.49881632743877186,0.002367345122456288,0.6733525688285681
59,187,5.023771574117018,0.945949874636176,0.905746906235926,0.05125128556736373,0.4938402370115009,0.012319525976998147,0.7791524805117905
